Categoria;EAN;Marca;Producto;Precio;Supermercado;Enlace;Imagen;Archivo_Imagen
Despensa;"=""7802800503544""";Sin Marca;Café Latte Vainilla Gold 152Gr;3990;Eltit;https://super.eltit.cl/products/nescafe-gold-vainilla;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/9e92ef69/858414-goldd-1.png;7802800503544.jpg
Despensa;"=""7802800503575""";Sin Marca;Café Moka Gold 152Gr;3990;Eltit;https://super.eltit.cl/products/cafe-gold-moka;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/a257a7e6/929969-7802800503575.jpg;7802800503575.jpg
Despensa;"=""7802800505739""";Sin Marca;Café Premier Forte Molido Gold 250Gr;7390;Eltit;https://super.eltit.cl/products/cafe-gold-grano-250gr-forte-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/086f089e/930247-sfddsg.jpg;7802800505739.jpg
Despensa;"=""7802800505746""";Sin Marca;Café Descafeinado Gold Premier 250Gr;8490;Eltit;https://super.eltit.cl/products/cafe-gold-premier-desc-250-gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/88a9d2ea/875410-cafe_descafeinado_gold.jpg;7802800505746.jpg
Despensa;"=""7802800505753""";Sin Marca;Cápsulas Café Espresso Classico Gold 50Gr 10 Unidades;5490;Eltit;https://super.eltit.cl/products/cafe-espresso-classico-gold-50gr-10-unidades;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/90826349/1057402-7802800505753.JPG;7802800505753.jpg
Despensa;"=""7802800505760""";Sin Marca;Cápsulas Café Espresso Ristretto Gold 50Gr 10 Unidades;5490;Eltit;https://super.eltit.cl/products/cafe-gold-cap-10u-ristretto;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/2aa5bd69/1057400-7802800505760.JPG;7802800505760.jpg
Despensa;"=""7802800505777""";Sin Marca;Cápsulas Café Espresso Lungo Gold 50Gr 10 Unidades;5490;Eltit;https://super.eltit.cl/products/cafe-espresso-lungo-gold-50gr-10-unidades;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/5fcb1e1a/1057403-7802800505777.JPG;7802800505777.jpg
Despensa;"=""7802800505784""";Sin Marca;Café De Grano Descafeinado Cápsulas Gold 10 Unidades;5390;Eltit;https://super.eltit.cl/products/cafe-gold-cap-10u-descafei-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/afc55353/938660-sdfuigd.jpg;7802800505784.jpg
Despensa;"=""7802800505821""";Sin Marca;Café Espresso Leggero Gold 50Gr 10 Unidades;5490;Eltit;https://super.eltit.cl/products/cafe-gold-cap-10u-leggero-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/a37cccd8/1057401-7802800505821.JPG;7802800505821.jpg
Despensa;"=""7802800512010""";Sin Marca;Café Coronado 170Gr;2990;Eltit;https://super.eltit.cl/products/cafe-coronado-170gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/a453ea6c/855623-7802800512010-cafe-cebada-coronado-170-g-550x550-1.jpg;7802800512010.jpg
