Categoria;EAN;Marca;Producto;Precio;Supermercado;Enlace;Imagen;Archivo_Imagen
Panadería y Repostería;"=""0000000040049""";Sin Marca;Torta De Frambuesa Eltit 23Cm;10990;Eltit;https://super.eltit.cl/products/torta-frambuesa-sin-lactosa-eltit-23cm;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/1780a591/1086262-Torta_Frambuesa_Eltit_23Cm.JPG;0000000040049.jpg
Carnicería y Fiambrería;"=""0000000040153""";Sin Marca;Carne Molida Especial Nacional 4% De Grasa 1 Kilo Aprox;11990;Eltit;https://super.eltit.cl/products/carne-molida-esp-cat-v-nac-1kg-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/9e7f3739/1014313-CARNE_MOLIDA_ESPECIAL.jpg.jpg;0000000040153.jpg
Carnicería y Fiambrería;"=""0000000040162""";Sin Marca;Costillar Cerdo 1Kg Super;6990;Eltit;https://super.eltit.cl/products/costillar-cerdo-1kg-super;https://assets.bolder.run/themes/9519/product-placeholder.png?1744750420;0000000040162.jpg
Frutas y Verduras;"=""0000000040179""";Sin Marca;Manzana Royal Gala;1695;Eltit;https://super.eltit.cl/products/manzana-royal-gala-1kg-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/292112f2/940350-manzana_gala.JPG;0000000040179.jpg
Panadería y Repostería;"=""0000000040192""";Sin Marca;Kuchen De Manzana Eltit;5990;Eltit;https://super.eltit.cl/products/kuchen-manzana-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/7fb2e4ec/1085804-Kuchen_Manzana_Eltit.JPG;0000000040192.jpg
Panadería y Repostería;"=""0000000040193""";Sin Marca;Kuchen De Durazno Eltit;6990;Eltit;https://super.eltit.cl/products/kuchen-durazno-eltit;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/d5e94528/1085789-Kuchen_Durazno_Eltit.JPG;0000000040193.jpg
Panadería y Repostería;"=""0000000040197""";Sin Marca;Pie De Limón Eltit;5450;Eltit;https://super.eltit.cl/products/pie-de-limon-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/bbedef89/1085889-Pie_de_Limon_Eltit.JPG;0000000040197.jpg
Frutas y Verduras;"=""0000000040242""";Sin Marca;Uva Negra;1990;Eltit;https://super.eltit.cl/products/uva-negra-1kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/83ffd00b/924864-0000000040242.jpg;0000000040242.jpg
Frutas y Verduras;"=""0000000040243""";Sin Marca;Uva Blanca 1Kg;2199;Eltit;https://super.eltit.cl/products/uva-blanca-1kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/bf8bd7aa/983707-uvas_blancas.jpg;0000000040243.jpg
Frutas y Verduras;"=""0000000040283""";Sin Marca;Piñones 1Kg;2490;Eltit;https://super.eltit.cl/products/pinones-1kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/d5d0d5a5/1081908-pi%C3%B1ones.JPG;0000000040283.jpg
Frutas y Verduras;"=""0000000040307""";Sin Marca;Aji Verde 1Kg;3996;Eltit;https://super.eltit.cl/products/aji-verde-1kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/3dbf4fcb/995545-aji.jpg;0000000040307.jpg
Panadería y Repostería;"=""0000000040338""";Sin Marca;Pan Integral 1Kg;2990;Eltit;https://super.eltit.cl/products/pan-integral-1kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/436a46a7/927401-Pan_Integral_.jpg;0000000040338.jpg
Panadería y Repostería;"=""0000000040343""";Sin Marca;Empanada De Pino Horno (1 Unidad);1980;Eltit;https://super.eltit.cl/products/emp-pino-horno-x-unidad;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/36451c2c/926578-Empanada_pino_Horno_x_unidad_1.png;0000000040343.jpg
Panadería y Repostería;"=""0000000040345""";Sin Marca;Empanada Pino Frita 1 Unidad;1299;Eltit;https://super.eltit.cl/products/emp-pino-frita-x-unidad-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/3eb4e708/926603-41361D7D-EACD-42BE-9B6B-73D7E28F6054.jpeg;0000000040345.jpg
Panadería y Repostería;"=""0000000040347""";Sin Marca;Empanada Queso Fritas 1 Unidad;1099;Eltit;https://super.eltit.cl/products/emp-queso-fritas-x-unidad-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/e9dbb6da/926580-queso_frita.png;0000000040347.jpg
Panadería y Repostería;"=""0000000040349""";Sin Marca;Empanada Napolitana De Horno 1 Unidad;1399;Eltit;https://super.eltit.cl/products/emp-napolitana-horno;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/691ef439/926577-Empanada_napolitana_horno_x_unidad_1.png;0000000040349.jpg
Panadería y Repostería;"=""0000000040351""";Sin Marca;Chaparritas 1 Unidad;999;Eltit;https://super.eltit.cl/products/chaparritas-x-unidad-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/c2c05b17/926601-D1377207-E5E8-4C94-A346-1498F18F4059.jpeg;0000000040351.jpg
Frutas y Verduras;"=""0000000040358""";Sin Marca;Zapallo Italiano Redondo 1 Unidades;595;Eltit;https://super.eltit.cl/products/zapallo-italiano-redondo-1-unidades;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/7916326a/926290-zapallo_italiano_redondo.JPG;0000000040358.jpg
Carnicería y Fiambrería;"=""0000000040374""";Sin Marca;Carne Molida Corriente 10% Grasa 1 Kilo Aprox;7990;Eltit;https://super.eltit.cl/products/carne-molida-corriente-1-kilo;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/697fd17b/1014314-carne_molida_corriente_10__grasa.jpg;0000000040374.jpg
Frutas y Verduras;"=""0000000040377""";Sin Marca;Papa 1Kg;895;Eltit;https://super.eltit.cl/products/papa-1kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/68d5d170/924314-0000000040377.jpg;0000000040377.jpg
Carnicería y Fiambrería;"=""0000000040385""";Sin Marca;Trutro Ala Pollo 1Kg Aprox.;4490;Eltit;https://super.eltit.cl/products/trutro-ala-pollo-1kg-super-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/0d0d721d/1085665-Trutro_Ala_Pollo_Gen%C3%A9rico_1Kg_Aprox.JPG;0000000040385.jpg
Panadería y Repostería;"=""0000000040404""";Sin Marca;Pan Baguette Unidad;699;Eltit;https://super.eltit.cl/products/pan-baguette-unidad;https://assets.bolder.run/themes/9519/product-placeholder.png?1744750420;0000000040404.jpg
Panadería y Repostería;"=""0000000040405""";Sin Marca;Kuchen De Frambuesa Eltit;6990;Eltit;https://super.eltit.cl/products/kuchen-frambuesa-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/e6b12282/1085938-Kuchen_Frambuesa_Eltit.JPG;0000000040405.jpg
Panadería y Repostería;"=""0000000040510""";Sin Marca;Pan Ciabatta 1Kg;2499;Eltit;https://super.eltit.cl/products/pan-ciabatta-1kg-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/b2ed549e/926714-PAN_CIABATTA.png;0000000040510.jpg
Despensa;"=""0000000040535""";Sin Marca;Pernil Cocido X Kg;6500;Eltit;https://super.eltit.cl/products/pernil-cocido-x-kg;https://assets.bolder.run/themes/9519/product-placeholder.png?1744750420;0000000040535.jpg
Frutas y Verduras;"=""0000000040624""";Sin Marca;Plátano Ecuatoriano;1990;Eltit;https://super.eltit.cl/products/platano-ecuatoriano-1kg-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/1ccfec2e/941722-WhatsApp_Image_2024-04-23_at_11.22.36_AM.jpg;0000000040624.jpg
Carnicería y Fiambrería;"=""0000000040727""";Sin Marca;Lomo Centro Cerdo 1Kg;7990;Eltit;https://super.eltit.cl/products/lomo-cent-cerdo-super-1kg-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/87e25d69/972376-lomo_centro_de_cerdo.jpg;0000000040727.jpg
Carnicería y Fiambrería;"=""0000000040990""";Sin Marca;Entraña Envasada 1 Kg;27990;Eltit;https://super.eltit.cl/products/entrana-envasada-1-kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/3e0938cc/1012706-Entra%C3%B1a_1_kilo.jpg;0000000040990.jpg
Panadería y Repostería;"=""0000000041000""";Sin Marca;Queque Marmolado Con Nueces Eltit;6990;Eltit;https://super.eltit.cl/products/queque-familiar-eltit;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/8c4a9f23/1085935-Queque_Marmolado_con_Nueces_Eltit.JPG;0000000041000.jpg
Frutas y Verduras;"=""0000000042311""";Sin Marca;Alcachofa 1Unid;999;Eltit;https://super.eltit.cl/products/alcachofa-1u;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/2d9cb73a/1020445-Alcachofa.jpg;0000000042311.jpg
Panadería y Repostería;"=""0000000045623""";Sin Marca;Kuchen De Nuez Eltit;9990;Eltit;https://super.eltit.cl/products/kuchen-nuez-x-unidad-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/295030e5/1085940-Kuchen_Nueces_Eltit.JPG;0000000045623.jpg
Congelados y Helados;"=""0000000050005""";Sin Marca;Hielo 1Kg;999;Eltit;https://super.eltit.cl/products/hielo-1kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/d65e7357/927710-hielo_1kg_.jpg;0000000050005.jpg
Carnicería y Fiambrería;"=""0000000050838""";Sin Marca;Pollo Entero Por Unidad 3,260 Kg Aprox;13990;Eltit;https://super.eltit.cl/products/pollo-entero;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/91dfeccc/962894-pollo_entero.JPG;0000000050838.jpg
Panadería y Repostería;"=""0000000050979""";Sin Marca;Brazo Reina Tres Leches Eltit;4990;Eltit;https://super.eltit.cl/products/brazo-reina-tres-leches-eltit;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/93d98305/1085976-Brazo_Reina_Tres_Leches_Eltit.JPG;0000000050979.jpg
Panadería y Repostería;"=""0000000050991""";Sin Marca;Tarta De Durazno Eltit;4990;Eltit;https://super.eltit.cl/products/tarta-durazno-eltit;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/35135e66/1085887-Tarta_Durazno_Eltit.JPG;0000000050991.jpg
Carnicería y Fiambrería;"=""0000000053003""";Sin Marca;Costillar Ahumado San Felipe 1Kg;12990;Eltit;https://super.eltit.cl/products/costillar-ahumado-s-felipe-1kg;https://assets.bolder.run/themes/9519/product-placeholder.png?1744750420;0000000053003.jpg
Panadería y Repostería;"=""0000000054787""";Sin Marca;Kuchen De Coco Eltit;4990;Eltit;https://super.eltit.cl/products/kuchen-coco-eltit;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/6f78f17c/1085790-Kuchen_Coco_Eltit.JPG;0000000054787.jpg
Congelados y Helados;"=""0000000057778""";Sin Marca;Filete Salmón Congelado Aqua 1Kg;25990;Eltit;https://super.eltit.cl/products/cong-filete-salmon-1kg-aq-sin-marcas;https://assets.bolder.run/themes/9519/product-placeholder.png?1744750420;0000000057778.jpg
Panadería y Repostería;"=""0000000060123""";Sin Marca;Torta De Hoja Manjar Tradicional Eltit 15P;8990;Eltit;https://super.eltit.cl/products/torta-de-hoja-manjar-eltit-15p;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/eef8572a/1085904-Torta_Hoja_Manjar_Eltit.JPG;0000000060123.jpg
Panadería y Repostería;"=""0000000060130""";Sin Marca;Torta De Durazno Manjar Eltit 15P;10990;Eltit;https://super.eltit.cl/products/torta-de-durazno-manjar-eltit-15p;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/9501f9a2/1085905-Torta_Durazno_Manjar_Eltit.JPG;0000000060130.jpg
Panadería y Repostería;"=""0000000060142""";Sin Marca;Torta De Chocolate Intenso Eltit 23Cm;9990;Eltit;https://super.eltit.cl/products/torta-chocolate-23cm;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/b16b8e85/1085898-Torta_Chocolate_Eltit_23Cm.JPG;0000000060142.jpg
Despensa;"=""0000000060308""";Sin Marca;Queso La Vaquita 1 Kg Gauda Trozo;8760;Eltit;https://super.eltit.cl/products/queso-l-vaquita-1kg-gauda-trozo;https://assets.bolder.run/themes/9519/product-placeholder.png?1744750420;0000000060308.jpg
Panadería y Repostería;"=""0000000060690""";Sin Marca;Kuchen De Arándano Eltit;6990;Eltit;https://super.eltit.cl/products/kuchen-arandano;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/1501df12/1085795-Kuchen_Ar%C3%A1ndano_Eltit.JPG;0000000060690.jpg
Panadería y Repostería;"=""0000000060990""";Sin Marca;Hallulla Especial 1Kg;2099;Eltit;https://super.eltit.cl/products/hallulla-especial-1kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/98f35e21/927403-0000000060990.jpg;0000000060990.jpg
Panadería y Repostería;"=""0000000060999""";Sin Marca;Kuchen De Miga Eltit;6990;Eltit;https://super.eltit.cl/products/kuchen-miga-eltit;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/56f4b075/1085792-Kuchen_Miga_Eltit.JPG;0000000060999.jpg
Carnicería y Fiambrería;"=""0000000070200""";Sin Marca;Pollo Asado 1 Unidad;8990;Eltit;https://super.eltit.cl/products/pollo-asado-x-unid;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/cf77bd5f/973099-POLLO_ASADO.jpg;0000000070200.jpg
Carnicería y Fiambrería;"=""0000000070705""";Sin Marca;Pechuga Des Pollo Super 1Kg;5990;Eltit;https://super.eltit.cl/products/pechuga-des-pollo-super-1kg;https://assets.bolder.run/themes/9519/product-placeholder.png?1744750420;0000000070705.jpg
Panadería y Repostería;"=""0000000070709""";Sin Marca;Pan Amasado 1Kg;2099;Eltit;https://super.eltit.cl/products/pan-amasado-1kg-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/a248b21f/927457-Pan_Amasado_.jpg;0000000070709.jpg
Panadería y Repostería;"=""0000000070727""";Sin Marca;Torta Tres Leches Eltit 15P;9990;Eltit;https://super.eltit.cl/products/torta-tres-leches-15-porciones;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/0095de0c/1085788-Torta_Tres_Leches_Eltit_15P.JPG;0000000070727.jpg
Panadería y Repostería;"=""0000000070759""";Sin Marca;Torta Selva Negra Eltit 23Cm;9990;Eltit;https://super.eltit.cl/products/torta-selva-negra-eltit-23cm;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/ae44580b/1085978-Torta_Selva_Negra_Eltit.JPG;0000000070759.jpg
Panadería y Repostería;"=""0000000070760""";Sin Marca;Torta De Piña Eltit 23Cm;9990;Eltit;https://super.eltit.cl/products/torta-de-pina-eltit-23cm;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/d6d58bf4/1085977-Torta_Pi%C3%B1a_Eltit.JPG;0000000070760.jpg
Panadería y Repostería;"=""0000000070775""";Sin Marca;Pan Bocado Dama 1Kg;2199;Eltit;https://super.eltit.cl/products/pan-bocado-dama-1kg-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/10d43ead/927385-Pan_Bocado%C3%A7.jpg;0000000070775.jpg
Panadería y Repostería;"=""0000000070784""";Sin Marca;Torta De Hoja Manjar Y Pastelera Eltit 15P;7990;Eltit;https://super.eltit.cl/products/torta-de-hoja-manjar-y-pastelera-eltit-15p;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/99b41913/1085903-Torta_Hoja_Manjar_Pastelera_Eltit.JPG;0000000070784.jpg
Panadería y Repostería;"=""0000000070891""";Sin Marca;Kuchen De Plátano Eltit;5990;Eltit;https://super.eltit.cl/products/kuchen-platano-eltit;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/1dce3eb7/1085803-Kuchen_Pl%C3%A1tano_Eltit.JPG;0000000070891.jpg
Panadería y Repostería;"=""0000000070987""";Sin Marca;Queque Yogurt Eltit;2990;Eltit;https://super.eltit.cl/products/queque-yogurt-eltit;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/6c8c42c8/1085888-Queque_Yogurt_Eltit.JPG;0000000070987.jpg
Frutas y Verduras;"=""0000000079104""";Sin Marca;Cochayuyo 1 Unidad;2490;Eltit;https://super.eltit.cl/products/cochayuyo-1u;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/977653bf/926309-cochayuyo.JPG;0000000079104.jpg
Panadería y Repostería;"=""0000000080100""";Sin Marca;Torta De Moka Eltit 23Cm;9990;Eltit;https://super.eltit.cl/products/torta-de-moka-eltit-23cm;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/52589975/1085979-Torta_Moka_Eltit.JPG;0000000080100.jpg
Panadería y Repostería;"=""0000000090139""";Sin Marca;Pan Sano 1Kg;2099;Eltit;https://super.eltit.cl/products/pan-sano-1kg-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/2eede06d/927464-Pan_sano_.jpg;0000000090139.jpg
Despensa;"=""0000005160434""";Sin Marca;Salsa Inglesa Worcestershire 444Ml;7990;Eltit;https://super.eltit.cl/products/salsa-inglesa-worcestershire-444ml;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/b334ee77/1069686-salsa_inglesA.JPG;0000005160434.jpg
Despensa;"=""0000040685601""";Sin Marca;Repollo Morado Pre Cocido Stollenwerk 720Ml;2990;Eltit;https://super.eltit.cl/products/stollenwerk-repollo-720ml-rojo;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/82d97a22/923601-0000040685601.JPG;0000040685601.jpg
Bebidas y Licores;"=""0000050196388""";Sin Marca;Whisky Buchanans 750Cc;29990;Eltit;https://super.eltit.cl/products/whisky-buchanans-750cc;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/f25ac1d1/932675-50196388.jpg;0000050196388.jpg
Cuidado Personal;"=""0000075027513""";Sin Marca;Desodorante Barra Original Crema 48H Dove 50Gr;2990;Eltit;https://super.eltit.cl/products/des-dove-woman-stick-50gr-original-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/dd8f6233/910066-0000075027513.jpg;0000075027513.jpg
Snacks y Galletas;"=""0000075068264""";Sin Marca;Caramelos Confitados Tutti Frutti Mentos 29Gr;499;Eltit;https://super.eltit.cl/products/caramelos-confitados-tutti-frutti-mentos-29gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/84bb07d2/1079251-Mentos_Tuti_Frutti.JPG;0000075068264.jpg
Snacks y Galletas;"=""0000075068271""";Sin Marca;Caramelos Confitados Menta Mentos 29Gr;499;Eltit;https://super.eltit.cl/products/caramelos-confitados-menta-mentos-29gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/d34ed9d1/1079241-Mentos_Mnta.JPG;0000075068271.jpg
Snacks y Galletas;"=""0000075068318""";Sin Marca;Caramelos Confitados Frutas Mentos 29Gr;499;Eltit;https://super.eltit.cl/products/caramelos-confitados-fruit-mentos-29gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/20f07294/1079243-Mentos_Fruit.JPG;0000075068318.jpg
Cuidado Personal;"=""0000075068493""";Sin Marca;Desodorante Barra Nutritive Secrets Flor De Sakura Dove 50Gr;2990;Eltit;https://super.eltit.cl/products/des-dove-woman-stick-50gr-matcha-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/4c8fa5e5/909892-0000075068493.jpg;0000075068493.jpg
Snacks y Galletas;"=""0000075072520""";Sin Marca;Chicle Pure Fresh Mentos 30Gr 15 Unidades;1590;Eltit;https://super.eltit.cl/products/goma-pure-fresh-mentos-30gr-15-unidades;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/0cab21cc/1084787-Mentos_Pure_Fresh.JPG;0000075072520.jpg
Cuidado Personal;"=""0000075076221""";Sin Marca;Desodorante Fresh Stick Axe 45 Gr;2495;Eltit;https://super.eltit.cl/products/desodorante-fresh-stick-axe-45-gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/98d78015/968415-0000075076221.JPG;0000075076221.jpg
Cuidado Personal;"=""0000075076238""";Sin Marca;Desodorante Apollo Stick Axe 45 Gr;2495;Eltit;https://super.eltit.cl/products/desodorante-apollo-axe-stick-45-gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/4538cd61/968511-0000075076238.JPG;0000075076238.jpg
Cuidado Personal;"=""0000075076252""";Sin Marca;Desodorante Stick Dark Axe 45 Gr;2495;Eltit;https://super.eltit.cl/products/desodorante-stick-dark-axe-45-gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/0ae2828a/968633-0000075076252.JPG;0000075076252.jpg
Snacks y Galletas;"=""0000076145513""";Sin Marca;Chocolate Miel Almendras Toblerone 50Gr;1795;Eltit;https://super.eltit.cl/products/chocolate-toblerone-50gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/c86ecf84/1084824-Toblerone_Miel_Almendras_2.JPG;0000076145513.jpg
Lácteos y Quesos;"=""0000078028760""";Sin Marca;Flan Panna Cotta Frutos Rojos Colun 100Gr;450;Eltit;https://super.eltit.cl/products/pannacoota-frutos-rojos-colun-100gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/54fb910a/877772-flan_del_sur_colun.jpg;0000078028760.jpg
Snacks y Galletas;"=""0000080115489""";Sin Marca;Alcaparras Damico 110-55Gr;2990;Eltit;https://super.eltit.cl/products/alcaparras-damico-110-55gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/b66871a2/928397-alca.JPG;0000080115489.jpg
Despensa;"=""0000080409731""";Sin Marca;Alcaparra D'Amico 130Gr;3990;Eltit;https://super.eltit.cl/products/alcaparra-damico-130gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/176a48a2/983691-alcaparras.JPG;0000080409731.jpg
Bebidas y Jugos;"=""0000090415319""";Cugat;Energética Red Bull Blue Edition Arándanos, 250Cc.;1690;Cugat;https://cugat.cl/producto/energetica-red-bull-blue-edit-250-ml/;https://cugat.cl/wp-content/uploads/2021/11/redbullbluearandano250-247x296.webp;0000090415319.jpg
Bebidas y Licores;"=""0000090446849""";Sin Marca;Energética Red Edition Red Bull 250Cc;1595;Eltit;https://super.eltit.cl/products/redbull-250cc-sandia;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/41aa4a1a/930144-0000090446849.JPG;0000090446849.jpg
Bebidas y Licores;"=""0000090454707""";Sin Marca;Energética Green Edition Red Bull 250Cc;1595;Eltit;https://super.eltit.cl/products/red-bull-fruta-del-dragon-250c;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/21afa358/1067636-green_edition.JPG;0000090454707.jpg
Bebidas y Licores;"=""0000090474507""";Sin Marca;Energética Zero Red Bull 250Cc;1595;Eltit;https://super.eltit.cl/products/redbull-250cc-zero-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/b3330f97/1067283-redbull_zero.JPG;0000090474507.jpg
Bebidas y Licores;"=""0000096197752""";Sin Marca;Tónica Elderflower Britvic 200Cc;1590;Eltit;https://super.eltit.cl/products/britvic-200cc-elderflower;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/2e790788/979619-britvil.jpg;0000096197752.jpg
Despensa;"=""0015883148008""";Sin Marca;Agua Azahar Alwadi 300Ml;3890;Eltit;https://super.eltit.cl/products/agua-azahar-alwadi-300cc;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/35cb7cfc/923621-0015883148008.JPG;0015883148008.jpg
Despensa;"=""0015883148015""";Sin Marca;Agua Rosas Alwadi 300Ml;3890;Eltit;https://super.eltit.cl/products/agua-rosas-alwadi-300ml;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/6867b1ef/1005405-0015883148015.JPG;0015883148015.jpg
Despensa;"=""0015883160048""";Sin Marca;Miel Granada Alwadi 410Gr;5390;Eltit;https://super.eltit.cl/products/miel-granada-alwadi;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/258e9881/1005404-0015883160048.JPG;0015883160048.jpg
Despensa;"=""0021000026982""";Sin Marca;Mayonesa Light Kraft 425Gr;4990;Eltit;https://super.eltit.cl/products/mayonesa-light-kraft-425gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/26cbeaa3/922587-0021000026982.jpg;0021000026982.jpg
Despensa;"=""0021000081059""";Sin Marca;Mayonesa Kraft Pote 1.26 Kg;10890;Eltit;https://super.eltit.cl/products/mayonesa-kraft-pote-1-2kg;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/55e9598a/983706-mayonesa_1.26.jpg;0021000081059.jpg
Aseo y Limpieza;"=""0030772000922""";Sin Marca;Lavaloza Blue Dawn 458Ml;4990;Eltit;https://super.eltit.cl/products/lavaloza-dawn-blue-458ml;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/1de320df/983755-lAVALOZA_480.jpg;0030772000922.jpg
Lácteos y Quesos;"=""0030900111308""";Sin Marca;Queso Crema Tradicional American Heritage 226Gr;3290;Eltit;https://super.eltit.cl/products/queso-crema-tradicional-american-heritage-227gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/b9fe5c8c/1085382-Queso_Crema_Tradicional_American_Heritage_226Gr.JPG;0030900111308.jpg
Snacks y Galletas;"=""0034000000074""";Sin Marca;Pastillas Menta Sin Azúcar Ice Breaker 42Gr;2499;Eltit;https://super.eltit.cl/products/pastillas-menta-sin-azucar-ice-breaker-42gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/3e601045/1084948-Ice_Breakers_Mint.JPG;0034000000074.jpg
Snacks y Galletas;"=""0034000000982""";Sin Marca;Pastillas Sandía Manzana Mandarina Sin Azúcar Ice Breaker 42Gr;3199;Eltit;https://super.eltit.cl/products/ice-breaker-42gr-fruta-acid-s-a;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/826c3ac8/1084953-Ice_Breakers_Sour.JPG;0034000000982.jpg
Snacks y Galletas;"=""0034000006663""";Sin Marca;Pastillas Raspberry Sin Azúcar Ice Breaker 36Gr;3199;Eltit;https://super.eltit.cl/products/pastillas-raspberry-sin-azucar-ice-breaker-36gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/34494edb/1084950-Ice_Breakers_Raspberry.JPG;0034000006663.jpg
Snacks y Galletas;"=""0034000134533""";Sin Marca;Mini Kisses Almendras Hersheys 283Gr;6490;Eltit;https://super.eltit.cl/products/choc-hershey-283gr-mini-kisses-almendra-sin-marcas;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/163c49ea/1084371-Mini_Kisses_Hersheys_283Gr.JPG;0034000134533.jpg
Snacks y Galletas;"=""0034000174140""";Sin Marca;Chocolate Special Dark Xl Hersheys 120Gr;4090;Eltit;https://super.eltit.cl/products/chocolate-special-dark-xl-hersheys-120gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/0becf850/1084385-Chocolate_XL_Hersheys_120Gr.JPG;0034000174140.jpg
Snacks y Galletas;"=""0034000432271""";Sin Marca;Chocolate Mini Cups Reeses 297Gr;6890;Eltit;https://super.eltit.cl/products/chocolate-reese-s-mini-cups-105gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/f9978794/1078995-Reeses.JPG;0034000432271.jpg
Decohogar;"=""0034264496866""";Sin Marca;Plancha Inalámbrica Oster 3000 2200W;40990;Eltit;https://super.eltit.cl/products/plancha-inalamb-oster-3000-2200w;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/b93b8df4/974307-dfdgdfgd.jpg;0034264496866.jpg
